# Chapter IDs | distinction | group~definition | examples separated by ; | group~definition | examples
7-science-2|Separate digestive organs by the main function highlighted here.|Mechanical processing~Physical actions break or mix food without defining a chemical change.|Chewing by teeth;Churning by stomach muscles|Chemical digestion~Enzymes break large food molecules into smaller molecules.|Amylase acting on starch;Protease acting on protein
7-science-5|Use formation of new substances as the classification rule.|Physical change~No new chemical substance is required for the change.|Melting ice;Cutting paper|Chemical change~New chemical substances form.|Rusting iron;Burning magnesium
7-science-6,11-biology-12|Compare oxygen use in respiration pathways.|Aerobic~Oxygen participates in aerobic energy release.|Aerobic respiration in leaf cells;Aerobic respiration in human cells|Anaerobic pathway~Energy release can proceed without oxygen in these examples.|Alcohol fermentation by yeast;Lactate formation in oxygen-limited muscle
7-science-7|Classify transport by plant tissue.|Xylem~Xylem primarily carries water and mineral ions from roots.|Water moving from root to leaf;Mineral ions moving up a stem|Phloem~Phloem carries organic food from sources to sinks.|Sucrose moving from leaf to fruit;Sugars moving to growing roots
7-science-8,10-science-7|Identify whether gamete fusion occurs in reproduction.|Asexual~A new organism arises without fusion of gametes.|Budding in yeast;Vegetative propagation from a potato tuber|Sexual~Male and female gametes fuse.|Fertilisation in a flowering plant;Fertilisation in humans
7-mathematics-7,8-mathematics-7|Convert percentages to a change of a known amount.|Increase~The new value exceeds the starting amount.|100 increased by 20% becomes 120;200 increased by 10% becomes 220|Decrease~The new value is below the starting amount.|100 reduced by 20% becomes 80;200 reduced by 10% becomes 180
7-mathematics-8,8-mathematics-1,9-mathematics-1,10-mathematics-1|Use rationality as the sorting rule.|Rational~The value equals p/q for integers p and nonzero q.|0.75;−7/3|Irrational~The value cannot equal a ratio of two integers.|√2;π
7-mathematics-9|Distinguish boundary length from surface measure.|Perimeter~Perimeter measures length around a boundary.|20 cm around a square of side 5 cm;14 m around a 3 m by 4 m rectangle|Area~Area measures the size of a two-dimensional region.|25 cm² for a square of side 5 cm;12 m² for a 3 m by 4 m rectangle
7-mathematics-10,8-mathematics-8|Distinguish an expression from an identity.|Expression~This algebraic object contains terms but no asserted equality.|3x + 2; a² − b²|Identity~The equality holds for every value for which both sides are defined.|(a+b)² = a²+2ab+b²;(a−b)(a+b) = a²−b²
7-mathematics-11,8-mathematics-10|Check exponent laws for nonzero a.|Valid law~The exponent rules hold for the stated nonzero base.|a² × a³ = a⁵;a⁵ / a² = a³|Invalid law~Multiplication or addition has been applied incorrectly.|a² + a³ = a⁵;(a²)³ = a⁵
8-science-1|Distinguish how crop yield is supported.|Nutrient supply~The intervention replenishes nutrients in soil.|Adding compost;Applying an appropriate fertiliser|Water supply~The intervention supplies or manages water.|Drip irrigation;Sprinkler irrigation
8-science-2,12-biology-8|Sort examples by their role in the stated context.|Useful microbial activity~The microbial process is used to produce food or treat waste.|Lactobacillus in curd;Microorganisms in sewage treatment|Harmful microbial activity~The microbial process causes disease or spoilage in this context.|Pathogenic bacteria causing foodborne disease;Mould spoiling bread
8-science-3|Distinguish fossil sources from renewable energy sources.|Fossil source~Formation takes geological time from ancient organic material.|Coal;Petroleum|Renewable source~The energy flow is replenished on human timescales.|Sunlight;Wind
8-science-5,12-biology-13|Compare conservation inside and outside natural habitats.|In situ~Species are conserved within their natural habitats.|A wildlife sanctuary;A biosphere reserve|Ex situ~Species or genetic material are conserved outside natural habitats.|A seed bank;A botanical garden collection
8-science-6|Classify where fertilisation occurs.|Internal fertilisation~Gamete fusion takes place inside the female body.|Humans;Hens|External fertilisation~Gamete fusion takes place outside the female body.|Most frogs;Many bony fish
8-science-7|Distinguish endocrine signals from their effects.|Hormone~A chemical messenger is secreted and acts on target tissues.|Testosterone;Oestrogen|Developmental change~This is a bodily change, not a hormone molecule.|Growth spurt;Maturation of reproductive organs
8-science-12|Separate electrical and tectonic phenomena.|Electrical~The phenomenon involves electric charge or its discharge.|Lightning;A charged comb attracting paper|Tectonic~The phenomenon involves movement and stress in Earth's crust.|An earthquake at a fault;Tectonic plate movement
8-mathematics-3,9-mathematics-8|Test whether both pairs of opposite sides are parallel.|Parallelogram~Both pairs of opposite sides are parallel.|A rectangle;A rhombus|Not a parallelogram~At least one opposite pair is not parallel.|A quadrilateral with exactly one parallel pair;A non-rhombus kite
8-mathematics-6|Recognise perfect cubes of integers.|Perfect cube~The integer is n³ for an integer n.|27;125|Not a perfect cube~No integer cubed equals the stated positive integer.|16;100
8-mathematics-9,9-mathematics-11,10-mathematics-12|Distinguish surface area and volume units.|Surface area~Surface area is measured in square units.|cm²;m²|Volume~Volume is measured in cubic units.|cm³;m³
8-mathematics-11|Compare proportional relationships with other factors fixed.|Direct proportion~One quantity changes by the same factor as the other.|Cost and quantity at fixed unit price;Distance and time at fixed speed|Inverse proportion~One quantity changes by the reciprocal factor.|Travel time and speed for a fixed distance;Workers and completion time for identical workers and a fixed job
8-mathematics-12|Check a factorisation by expanding it.|Correct factorisation~Expansion returns the original expression.|x²−9 = (x−3)(x+3);2x+6 = 2(x+3)|Incorrect factorisation~Expansion does not return the original expression.|x²+9 = (x−3)(x+3);2x+6 = 2(x+6)
9-science-2|Distinguish pure substances from mixtures.|Pure substance~The material has one chemical substance with a definite composition.|Pure copper;Pure distilled water|Mixture~Two or more substances are present together.|Air;Salt solution
9-science-8,11-physics-4|Identify whether the net force is zero.|Zero net force~In an inertial frame, zero acceleration means zero net force.|An object at rest with balanced forces;An object moving at constant velocity|Nonzero net force~Acceleration requires a nonzero vector sum of forces.|A car speeding up in a straight line;An object moving at constant speed in a circle
9-science-12|Compare crop production and animal husbandry.|Crop improvement~The practice improves plant varieties or cultivation.|Selecting a disease-resistant wheat variety;Improving irrigation for rice|Animal husbandry~The practice manages animals for health and production.|Balanced feed for dairy cattle;Hygienic poultry housing
9-mathematics-5|Separate Euclidean postulates from statements needing additional proof.|Euclidean postulate~The construction or property is taken as a starting assumption.|A straight line can join two points;A circle can be drawn with any centre and radius|Derived theorem~The result is proved from definitions and postulates.|Vertically opposite angles are equal;The angles of a Euclidean triangle sum to 180°
9-mathematics-9,10-mathematics-10|Distinguish lines by their intersection with a circle.|Tangent~The line meets the circle at exactly one point.|A line touching a circle at one point;A line perpendicular to a radius at its endpoint on the circle|Secant~The line meets the circle at two distinct points.|The full line through a diameter;A line crossing a circle at two points
9-mathematics-10|Check whether three positive lengths form a nondegenerate triangle before using Heron's formula.|Valid triangle~The sum of any two sides is greater than the third.|3, 4, 5;5, 5, 6|Not a nondegenerate triangle~At least one pair sums to no more than the third side.|1, 2, 3;2, 3, 7
10-science-6,11-biology-18|Compare rapid neural signalling and hormonal signalling.|Neural signalling~Electrical impulses and synapses transmit signals through neurons.|Withdrawal reflex through a reflex arc;Motor neuron signal to a skeletal muscle|Hormonal signalling~Chemical messengers travel to target cells, often through blood.|Insulin signalling to target tissues;Thyroxine regulating metabolism
10-mathematics-5,11-mathematics-8|Test for a constant difference between consecutive terms.|Arithmetic progression~The difference between consecutive terms is constant.|2, 5, 8, 11;10, 7, 4, 1|Not an arithmetic progression~The differences are not constant.|1, 2, 4, 8;1, 4, 9, 16
10-mathematics-9|Identify the correct trigonometric ratio in a right triangle.|Sine~Sine of the reference angle equals opposite divided by hypotenuse.|sin θ = opposite/hypotenuse;sin 30° = 1/2|Tangent~Tangent of the reference angle equals opposite divided by adjacent.|tan θ = opposite/adjacent;tan 45° = 1
10-mathematics-11|Distinguish an arc length from a sector area for radius r and angle θ in radians.|Arc length~Arc length has units of length and equals rθ.|rθ;πr for a semicircular arc|Sector area~Sector area has units of area and equals r²θ/2.|r²θ/2;πr²/2 for a semicircle
11-physics-1|Separate SI base units from derived units.|SI base unit~This unit is one of the seven independent SI base units.|metre;second|SI derived unit~This unit is expressed using base units.|newton;pascal
11-physics-6|Distinguish translational and rotational dynamics in the highlighted relation.|Translational~The relation concerns linear motion of a particle or centre of mass.|F = ma;p = mv|Rotational~The relation concerns angular motion about a specified axis.|τ = Iα for a fixed axis;L = Iω for rotation about a principal axis
11-physics-8|Distinguish stress from strain.|Stress~Stress is force divided by area and has pressure units.|F/A;A quantity measured in pascals|Strain~Strain is a dimensionless ratio of deformation to original size.|ΔL/L;Fractional extension
11-chemistry-3|Compare positions in the periodic table.|Same group~The elements lie in the same vertical column.|Li and Na;F and Cl|Same period~The elements lie in the same horizontal row.|Na and Mg;C and O
11-chemistry-5|Distinguish intensive and extensive properties.|Intensive~The value does not scale simply with the amount of material.|Temperature;Pressure|Extensive~For equivalent systems, the value scales with system size.|Volume;Internal energy
11-chemistry-7|Track electron transfer in a redox process.|Oxidation~The species loses electrons and its oxidation number increases.|Zn → Zn²⁺ + 2e⁻;Fe²⁺ → Fe³⁺ + e⁻|Reduction~The species gains electrons and its oxidation number decreases.|Cu²⁺ + 2e⁻ → Cu;Cl₂ + 2e⁻ → 2Cl⁻
11-mathematics-1|Classify collections by whether membership is well-defined.|Well-defined set~Membership can be decided using an explicit rule.|Even positive integers less than 10;Vowels in the English alphabet|Not well-defined as stated~Membership depends on an unspecified subjective judgement.|The nicest flowers;The most interesting numbers
11-mathematics-2,12-mathematics-1|Test whether a relation assigns exactly one output to each input in its stated domain.|Function~Each input has exactly one output.|{(1,2),(2,3)} on domain {1,2};y = x² for real x|Not a function~At least one input has more than one output.|{(1,2),(1,3)} on domain {1};y² = x considered as y depending on x for x > 0
11-mathematics-5|Test candidate solutions of 2x + 1 < 7.|Satisfies inequality~Rearranging gives x < 3.|x = 0;x = 2|Does not satisfy~Values at or above 3 fail the strict inequality.|x = 3;x = 4
11-mathematics-7|Check coefficients in the expansion of (a+b)³.|Present with stated coefficient~The coefficients in order are 1, 3, 3, 1.|a³;3a²b|Not present with stated coefficient~The proposed term or coefficient disagrees with the expansion.|2ab²;4b³
11-mathematics-11,12-mathematics-11|Locate points relative to the xy-plane.|On the xy-plane~The z-coordinate is zero.|(2,3,0);(−1,4,0)|Off the xy-plane~The z-coordinate is nonzero.|(2,3,1);(0,0,−2)
11-mathematics-12,12-mathematics-6|Classify local rates of change by derivative sign.|Increasing locally~A positive derivative indicates local increase.|f(x)=x² at x=2;f(x)=3x at x=0|Decreasing locally~A negative derivative indicates local decrease.|f(x)=x² at x=−2;f(x)=−3x at x=0
11-biology-1|Distinguish taxonomic rank from a named taxon.|Taxonomic rank~A rank is a level in the classification hierarchy.|Genus;Family|Named taxon~A taxon is a named group at a particular rank.|Homo;Felidae
11-biology-2|Compare prokaryotic and eukaryotic cellular organisation.|Prokaryotic~Cells lack a membrane-bound nucleus.|Bacteria;Archaea|Eukaryotic~Cells have a membrane-bound nucleus.|Fungi;Animals
11-biology-3|Distinguish seed-producing plant groups.|Seed plants~These groups reproduce using seeds.|Gymnosperms;Angiosperms|Seedless plants~These groups do not produce seeds.|Bryophytes;Pteridophytes
11-biology-4|Use the presence of a vertebral column to classify animals.|Vertebrate~The animal has a vertebral column.|Frog;Lizard|Invertebrate~The animal lacks a vertebral column.|Earthworm;Butterfly
11-biology-5|Distinguish vegetative and reproductive organs of a flowering plant.|Vegetative organ~The organ primarily supports growth, transport or photosynthesis.|Root;Leaf|Reproductive structure~The structure participates in sexual reproduction or seed dispersal.|Flower;Fruit
11-biology-7|Identify the main tissue function in the example.|Epithelial tissue~Closely arranged cells line or cover surfaces.|Skin epidermis;Intestinal lining|Connective tissue~Cells and matrix support, bind or transport.|Bone;Blood
11-biology-10|Compare chromosome behaviour in mitosis and meiosis.|Mitosis~A division usually preserves chromosome number in daughter cells.|Sister chromatids separate in a mitotic division;Somatic cells divide for growth|Meiosis~Two divisions follow one DNA replication and reduce chromosome number.|Homologous chromosomes separate in meiosis I;Haploid products form after meiosis II
11-biology-13|Classify plant hormones by the developmental effect highlighted.|Growth promotion example~The stated example promotes extension or division.|Auxin promoting cell elongation;Cytokinin promoting cell division|Stress or senescence example~The stated example concerns stress response or ageing.|Abscisic acid promoting stomatal closure;Ethylene promoting leaf senescence
11-biology-14|Compare inspiration and expiration during quiet breathing.|Inspiration~Thoracic volume increases and air moves into the lungs.|Diaphragm contracts and flattens;Intrapulmonary pressure falls below atmospheric pressure|Expiration~Thoracic volume decreases and air moves out during quiet breathing.|Diaphragm relaxes;Intrapulmonary pressure rises above atmospheric pressure
11-biology-15|Classify vessels by direction of flow relative to the heart.|Artery~Arteries carry blood away from the heart, irrespective of oxygen content.|Aorta;Pulmonary artery|Vein~Veins carry blood toward the heart.|Vena cava;Pulmonary vein
11-biology-16|Separate filtration and selective reabsorption in a nephron.|Filtration~Pressure drives fluid and small solutes from glomerular blood into the capsule.|Water entering Bowman's capsule;Urea entering glomerular filtrate|Reabsorption~Useful substances move from tubular fluid back toward the blood.|Glucose reabsorbed from the tubule;Water reabsorbed along the nephron
11-biology-17|Compare skeletal and smooth muscle in the examples.|Skeletal muscle~Usually voluntary, striated muscle moves the skeleton.|Biceps;Quadriceps|Smooth muscle~Involuntary, non-striated muscle occurs in many organ walls.|Intestinal wall muscle;Blood vessel wall muscle
11-biology-19|Match endocrine hormones to their glands.|Pancreatic hormone~The endocrine pancreas produces this hormone.|Insulin;Glucagon|Thyroid hormone~The thyroid produces these hormones.|Thyroxine (T4);Triiodothyronine (T3)
12-physics-1|Distinguish scalar and vector electric quantities.|Scalar~Magnitude with a sign is sufficient; there is no spatial direction.|Electric charge;Electric potential|Vector~Magnitude and direction are needed.|Electric field;Electric force
12-physics-2|Test effects on an ideal parallel-plate capacitance C = εA/d.|Increases capacitance~Increasing area or permittivity increases C with other factors fixed.|Doubling plate area;Inserting a dielectric with relative permittivity greater than 1|Decreases capacitance~Increasing separation or reducing area decreases C.|Doubling plate separation;Halving plate area
12-physics-4|Use F = qv × B for magnetic force on a moving charge.|Zero magnetic force~The velocity is parallel or antiparallel to the field.|Velocity parallel to B;Velocity antiparallel to B|Maximum magnitude at fixed speed~The velocity is perpendicular to the field.|Velocity along x with B along y;Velocity along y with B along z
12-physics-5|Distinguish magnetic responses of materials.|Diamagnetic example~The induced magnetic response weakly opposes the applied field.|Bismuth;Copper|Ferromagnetic example~Domains can align strongly and retain magnetisation.|Iron;Cobalt
12-physics-7|Compare phase in ideal pure AC elements.|Current leads voltage~In an ideal capacitor, current leads voltage by 90°.|A pure capacitor;An ideal capacitive reactance|Current lags voltage~In an ideal inductor, current lags voltage by 90°.|A pure inductor;An ideal inductive reactance
12-physics-11|Distinguish particle-like and wave-like evidence.|Particle-like evidence~Discrete energy or momentum exchanges reveal quantised behaviour.|Photoelectric emission;Compton scattering|Wave-like evidence~Interference or diffraction demonstrates wave behaviour.|Electron diffraction;Double-slit interference
12-chemistry-2|Compare the direction of energy conversion in cells.|Galvanic cell~A spontaneous redox process supplies electrical energy.|A discharging Daniell cell;A discharging battery|Electrolytic cell~Electrical energy drives a nonspontaneous chemical process.|Electrolysis of molten NaCl;Electroplating driven by a power supply
12-chemistry-4|Distinguish d-block and f-block examples.|d-block element~The differentiating electron is associated with a d subshell in the usual block classification.|Iron;Copper|f-block element~The differentiating electron is associated with an f subshell.|Cerium;Uranium
12-chemistry-8|Recognise carbonyl functional groups in simple molecules.|Aldehyde~The carbonyl carbon is bonded to at least one hydrogen.|Ethanal;Methanal|Ketone~The carbonyl carbon is bonded to two carbon groups.|Propanone;Butan-2-one
12-chemistry-9|Classify amines by the number of carbon groups on nitrogen.|Primary amine~Nitrogen is bonded to one carbon group and two hydrogens.|Methylamine;Ethylamine|Secondary amine~Nitrogen is bonded to two carbon groups and one hydrogen.|Dimethylamine;Diethylamine
12-mathematics-2|Check principal inverse-trigonometric values.|Correct principal value~The value lies in the principal range and gives the stated sine or cosine.|arcsin(1/2) = π/6;arccos(1/2) = π/3|Not the principal value~The angle may give the same trig value but is outside the principal range.|arcsin(1/2) = 5π/6;arccos(1/2) = 5π/3
12-mathematics-3|Check dimensions for matrix multiplication AB.|Product defined~The number of columns of A equals the number of rows of B.|A is 2×3 and B is 3×4;A is 1×2 and B is 2×1|Product not defined~The inner dimensions do not match.|A is 2×3 and B is 2×4;A is 3×1 and B is 2×3
12-mathematics-4|Use the determinant to identify singular 2×2 matrices.|Singular~The determinant ad−bc is zero.|[[1,2],[2,4]];[[0,0],[1,3]]|Nonsingular~The determinant is nonzero.|[[1,0],[0,1]];[[2,1],[1,2]]
12-mathematics-5|Test differentiability at x = 0.|Differentiable at 0~The left and right derivatives agree and are finite.|f(x)=x²;f(x)=sin x|Not differentiable at 0~A corner or discontinuity prevents a derivative.|f(x)=abs(x);f(x)=0 for x<0 and 1 for x≥0
12-mathematics-7|Check proposed indefinite integrals by differentiation.|Correct antiderivative family~Differentiating recovers the integrand.|∫2x dx = x²+C;∫cos x dx = sin x+C|Incorrect antiderivative family~Differentiating does not recover the integrand.|∫2x dx = 2x²+C;∫cos x dx = −sin x+C
12-mathematics-8|Distinguish signed integrals from geometric area.|Signed integral~Contributions below the x-axis count negatively.|∫ from −1 to 1 of x dx = 0;∫ from 0 to π of −sin x dx = −2|Geometric area~Area is nonnegative and uses magnitudes of contributions.|Area between y=x and the x-axis on [−1,1] is 1;Area under sin x on [0,π] is 2
12-mathematics-9|Identify the order of a differential equation.|First order~The highest derivative present is a first derivative.|dy/dx = y;dy/dx + 2y = x|Second order~A second derivative is the highest derivative present.|d²y/dx² + y = 0;d²y/dx² = x
12-mathematics-10|Distinguish dot and cross products of 3D vectors.|Dot product~The result is a scalar.|a·b = norm(a) norm(b)cos θ;Work W = F·s|Cross product~The result is an axial vector perpendicular to both factors.|a×b;Torque τ = r×F
12-mathematics-12|Separate an objective function from a constraint in a linear program.|Objective~This expression is maximised or minimised.|Maximise 3x+2y;Minimise 5x+4y|Constraint~This condition restricts feasible choices.|x+y ≤ 10;x ≥ 0
12-biology-1|Distinguish pollination and fertilisation.|Pollination~Pollen is transferred to a compatible stigma.|Pollen carried by a bee to a stigma;Pollen transferred by wind to a stigma|Fertilisation~Gametes fuse after pollen-tube growth.|Fusion of a sperm with an egg;Triple fusion forming the primary endosperm nucleus
12-biology-2|Distinguish gamete formation and gamete fusion.|Gametogenesis~Specialised cells produce gametes.|Spermatogenesis;Oogenesis|Fertilisation and its immediate result~The gametes unite and a zygote forms.|Fusion of sperm and ovum;Restoration of the diploid chromosome number in the zygote
12-biology-3|Separate reproductive-health education and services from biological developmental processes.|Education or service~The example concerns information or organised healthcare support.|Age-appropriate reproductive-health education;Antenatal healthcare services|Biological process~The example describes physiology rather than a service.|Ovulation;Embryonic development
12-biology-7|Classify immunity by origin.|Innate immunity~These defences are present without a prior specific antigen response.|Skin barrier;Phagocytosis by neutrophils|Adaptive immunity~These responses are antigen-specific and can form memory.|Antibodies produced after antigen exposure;Memory T cells
12-biology-10|Distinguish agricultural and medical applications of biotechnology.|Agricultural application~The application concerns crop traits or agricultural production.|Bt cotton;A crop engineered for improved nutrient content|Medical application~The application concerns diagnosis or therapeutic products.|Recombinant human insulin;PCR-based pathogen detection
